"UMPIRE_ID","UMPIRE"
1,"Asad Rauf"
2,"Aleem Dar"
3,"BF Bowden"
4,"SJ Davis"
5,"DJ Harper"
6,"AV Jayaprakash"
7,"BG Jerling"
8,"K Hariharan"
9,"SL Shastri"
10,"S Ravi"
11,"SJA Taufel"
12,"PR Reiffel"
13,"AM Saheba"
14,"JD Cloete"
15,"VA Kulkarni"
16,"NJ Llong"
17,"RM Deshpande"
18,"SD Fry"
19,"PG Pathak"
20,"Nitin Menon"
21,"A Nand Kishore"
22,"K Bharatan"
23,"UV Gandhe"
24,"HAS Khalid"
25,"RE Koertzen"
26,"GAV Baxter"
27,"K Srinivasan"
28,"Navdeep Singh"
29,"Chirra Ravikanthreddy"
30,"C Shamshuddin"
31,"S Asnani"
32,"BNJ Oxenford"
33,"CB Gaffaney"
34,"IJ Gould"
35,"MA Gough"
36,"MV Saidharshan Kumar"
37,"AY Dandekar"
38,"J Madanagopal"
39,"K Srinath"
40,"GA Pratapkumar"
41,"AL Hill"
42,"Subroto Das"
43,"N Pandit"
44,"IL Howell"
45,"SK Tarapore"
46,"KN Ananthapadmanabhan"
47,"YC Barde"
48,"A Totre"
49,"RK Illingworth"
50,"Vinod Seshan"
51,"AG Wharf"
52,"MR Benson"
53,"BR Doctrove"
54,"AK Chaudhary"
55,"SS Hazare"
56,"NA Patwardhan"
57,"M Erasmus"
58,"HDPK Dharmasena"
59,"CK Nandan"
60,"A Deshmukh"
61,"RJ Tucker"
62,"S Das"
63,"RB Tiffin"
64,"TH Wijewardene"
65,"SD Ranade"
66,"R Pandit"
67,"Tapan Sharma"
68,"VK Sharma"
69,"I Shivram"
70,"GR Sadashiv Iyer"
